geoid,name,B01003001,"B01003001, Error"
14000US47043060201,"Census Tract 602.01, Dickson, TN",3341,613
14000US47043060202,"Census Tract 602.02, Dickson, TN",3671,572
14000US47043060300,"Census Tract 603, Dickson, TN",7461,646
14000US47043060401,"Census Tract 604.01, Dickson, TN",3263,444
14000US47043060402,"Census Tract 604.02, Dickson, TN",7106,723
14000US47043060501,"Census Tract 605.01, Dickson, TN",6229,761
14000US47043060502,"Census Tract 605.02, Dickson, TN",3355,527
14000US47043060601,"Census Tract 606.01, Dickson, TN",4086,626
14000US47043060602,"Census Tract 606.02, Dickson, TN",6991,783
14000US47043060700,"Census Tract 607, Dickson, TN",4522,639
14000US47045964001,"Census Tract 9640.01, Dyer, TN",4720,524
14000US47045964002,"Census Tract 9640.02, Dyer, TN",2338,340
14000US47045964200,"Census Tract 9642, Dyer, TN",5550,658
14000US47045964300,"Census Tract 9643, Dyer, TN",5580,653
14000US47045964401,"Census Tract 9644.01, Dyer, TN",3008,493
14000US47045964402,"Census Tract 9644.02, Dyer, TN",3152,496
14000US47045964500,"Census Tract 9645, Dyer, TN",2294,272
14000US47045964600,"Census Tract 9646, Dyer, TN",2708,363
14000US47045964800,"Census Tract 9648, Dyer, TN",2945,399
14000US47045964900,"Census Tract 9649, Dyer, TN",4680,493
14000US47047060300,"Census Tract 603, Fayette, TN",2927,340
14000US47047060401,"Census Tract 604.01, Fayette, TN",2914,312
14000US47047060402,"Census Tract 604.02, Fayette, TN",4496,568
14000US47047060403,"Census Tract 604.03, Fayette, TN",4088,407
14000US47047060404,"Census Tract 604.04, Fayette, TN",6741,497
14000US47047060501,"Census Tract 605.01, Fayette, TN",4749,545
14000US47047060502,"Census Tract 605.02, Fayette, TN",3688,338
14000US47047060600,"Census Tract 606, Fayette, TN",3532,460
14000US47047060701,"Census Tract 607.01, Fayette, TN",2118,219
14000US47047060702,"Census Tract 607.02, Fayette, TN",3882,315
14000US47047060800,"Census Tract 608, Fayette, TN",2449,378
14000US47049965000,"Census Tract 9650, Fentress, TN",3714,514
14000US47049965100,"Census Tract 9651, Fentress, TN",4175,509
14000US47049965201,"Census Tract 9652.01, Fentress, TN",1561,403
14000US47049965202,"Census Tract 9652.02, Fentress, TN",2897,522
14000US47049965300,"Census Tract 9653, Fentress, TN",6038,665
14000US47051960100,"Census Tract 9601, Franklin, TN",3681,513
14000US47051960201,"Census Tract 9602.01, Franklin, TN",6009,567
14000US47051960202,"Census Tract 9602.02, Franklin, TN",5184,571
14000US47051960300,"Census Tract 9603, Franklin, TN",3051,414
14000US47051960401,"Census Tract 9604.01, Franklin, TN",4218,450
14000US47051960402,"Census Tract 9604.02, Franklin, TN",4297,376
14000US47051960500,"Census Tract 9605, Franklin, TN",4185,427
14000US47051960600,"Census Tract 9606, Franklin, TN",4494,435
